row ID,Molecule,Molecule name,Mannhold LogP,Atomic Polarizabilities,Aromatic Atoms Count,Aromatic Bonds Count,Element Count,Bond Polarizabilities,Bond Count,Eccentric Connectivity Index,Fragment Complexity,VABC Volume Descriptor,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Largest Chain,Largest Pi Chain,Petitjean Number,Rotatable Bonds Count,Lipinski's Rule of Five,Topological Polar Surface Area,Vertex adjacency information magnitude,Molecular Weight,XLogP,Zagreb Index,Molecular Formula,Formal Charge,Formal Charge (pos),Formal Charge (neg),Heavy Atoms Count,Molar Mass,SP3 Character,Rotatable Bonds Count (non terminal)
Row10021,O1c2c(ccc(c2)CC(NCC(O)c3cc(O)c(O)cc3)C)OC1,C18H21NO5,2.78,50.792653,12,12,45,27.449347,26,573,1657.06,300.143947370174,2,4,6,8,0.5,10,0,91.18,5.70043971814109,331.141972772001,2.362,124,C18H21NO5,0,0,0,24,331.363729817409,0.133333333333333,6
Row10022,S(=O)(=O)(OC)[O-].S(=O)(=O)(OC)[O-].O(c1c(OC)cc2CC[N+](C(c2c1)Cc3cc(OC)c(OC)cc3)(CCCCCCCCCC[N+]4(C(c5c(cc(OC)c(c5)OC)CC4)Cc6cc(OC)c(OC)cc6)C)C)C,C54H80N2O16S2,5.2,169.215440000001,24,24,154,126.76456,77,-618822810,19247.2,1009.93148502531,8,0,10,8,0.999000000999,39,3,223.46,7.2667865406949,1076.49492648,5.756,370,C54H80N2O16S2,0,2,-2,74,1077.35105397387,0.194805194805195,25
Row10023,C=1C=CBC1,C4H5B,1.79,13.403965,0,0,10,9.276035,5,20,80.01,95.9892504522668,0,0,0,4,0,0,0,0,3.32192809488736,64.04843056,1.204,20,C4H5B,0,0,0,5,63.893675444681,0,0
Row10024,O=C(c1c(O)c(c(O)cc1OC)CC=C(C)C)/C=C/c2ccc(O)cc2,C21H22O5,3.22,55.639446,12,12,48,26.924554,27,565,1751.05,345.482223638007,1,3,4,20,0.5,12,0,86.99,5.75488750216347,354.146723804001,4.642,128,C21H22O5,0,0,0,26,354.397175054562,0.0833333333333333,6
Row10025,O=C(c1c(O)cc(O)cc1)/C=C/c2cc(O)c(O)cc2,C15H12O5,2.56,38.411516,12,12,32,14.076484,21,385,709.05,244.342774583606,1,4,4,20,0.5,7,0,97.99,5.39231742277876,272.068473484,2.814,100,C15H12O5,0,0,0,20,272.253352135576,0,3
Row10026,O=C(c1c(O)c(O)c(O)cc1)/C=C/c2cc(O)c(O)cc2,C15H12O6,2.45,39.213516,12,12,33,14.076484,22,406,736.06,253.133001284167,1,5,4,21,0.5,8,0,118.22,5.4594316186373,288.063388104,3.266,106,C15H12O6,0,0,0,21,288.252757063146,0,3
Row10027,C1=CC2C3C1C23,C6H6,2.12,14.560758,0,0,12,6.559242,8,32,166,72.6265316528002,0,0,0,2,0,0,0,0,4,78.046950192,1.966,44,C6H6,0,0,0,6,78.1120599036828,0.333333333333333,0
Row10028,C1=CC1C2C=C2,C6H6,2.12,14.560758,0,0,12,6.559242,7,36,139,82.3465316528002,0,0,0,2,0.333333333333333,1,0,0,3.8073549220576,78.046950192,2.132,34,C6H6,0,0,0,6,78.1120599036828,0.166666666666667,1
Row10029,Oc1ccc(CCCCCCCCC)cc1,C15H24O,3,43.205032,6,6,40,26.236968,16,317,1360.01,245.620619986161,0,1,9,7,0.461538461538462,10,1,20.23,5,220.182715388,6.5,68,C15H24O,0,0,0,16,220.351021471208,0.225,8
Row10030,O=C(Nc1ccc(-c2cnccc2)cc1)CCCCN3CCOCC3,C20H25N3O2,3.11,56.773825,12,12,50,34.164175,27,708,2104.05,327.722298235758,5,1,6,15,0.470588235294118,7,0,54.46,5.75488750216347,339.194677040001,1.963,122,C20H25N3O2,0,0,0,25,339.432156257652,0.16,7
